"","fvegHW90mask","bird90","mammal90","reptile90","aetfeb_90m","cwdfeb_90m","pptfeb_90m","pptdjf_90m","pptjja_90m","tmnfeb_90m","tmxfeb_90m","tmxjja_90m","tmndjf_90m","longitude","latitude"
"84",15,172,48,19,35.8242988586426,0,192.369003295898,193.331207275391,5.69099998474121,3.125,14.5916996002197,31.4890995025635,2.47970008850098,-89043.164026696,123382.864980303
"85",15,167,50,18,38.5693016052246,0,155.712005615234,161.845199584961,5.05770015716553,4.93030023574829,15.5113000869751,33.3005981445312,3.8561999797821,-109066.773199166,140948.410844513
"86",15,168,50,18,38.1946983337402,0,156.423706054688,162.912094116211,5.09740018844604,4.91200017929077,15.5887002944946,33.3335990905762,3.83739995956421,-109409.233651303,140236.785624531
"87",15,170,50,18,38.9432983398438,0,154.983993530273,162.094696044922,5.09040021896362,4.80030012130737,15.7620000839233,33.9369010925293,3.77810001373291,-106843.948935238,141546.219222148
"88",15,187,55,24,56.007999420166,14.0120000839233,84.4132995605469,64.9533004760742,1.35839998722076,7.64370012283325,20.0463008880615,27.5368003845215,7.1314001083374,210081.239846726,-494783.514674789
"89",8,179,55,27,59.1082992553711,15.3016996383667,102.764701843262,73.1726989746094,1.46459996700287,8.20800018310547,20.1529998779297,29.0627994537354,7.77479982376099,227311.526770747,-491405.687819391
"90",5,191,54,24,52.967700958252,20.0056991577148,71.5390014648438,55.0220985412598,1.03620004653931,8.4153003692627,19.2542991638184,24.2959995269775,7.93340015411377,202528.610127484,-492132.636478003
"91",8,193,54,26,59.2226982116699,16.0006999969482,82.5832977294922,64.8732986450195,1.76789999008179,8.21829986572266,19.3560009002686,25.724100112915,7.75540018081665,234202.021707202,-516807.272633051
"92",15,169,55,31,59.9609985351562,7.62900018692017,145.459701538086,120.02970123291,2.75040006637573,8.47299957275391,16.9396991729736,31.6140995025635,9.11410045623779,224810.719454369,-470821.762042703
"93",2,191,54,24,53.6183013916016,19.0983009338379,74.0422973632812,56.3202018737793,1.02530002593994,8.26029968261719,19.600700378418,25.4367008209229,7.86159992218018,202757.872908671,-492299.469569618
"94",15,171,55,31,65.496696472168,9.0600004196167,124.131301879883,99.2463989257812,2.43009996414185,6.8863000869751,15.43869972229,31.3115997314453,7.26719999313354,236293.273012983,-481564.224481354
"95",15,140,54,22,37.5713005065918,0,166.447692871094,166.080993652344,4.77740001678467,3.31130003929138,14.0207004547119,31.4983997344971,2.59859991073608,-82538.1778456818,106975.884999629
"96",7,119,63,13,6.81500005722046,0,195.049301147461,195.985305786133,9.59889984130859,-2.80570006370544,8.67800045013428,29.1762008666992,-3.15590000152588,-87569.1407991003,210994.690800551
"97",7,130,65,13,13.524299621582,0,167.269302368164,172.055801391602,8.2819995880127,-2.48499989509583,10.2412996292114,30.7299995422363,-2.87059998512268,-76848.9313398695,217459.499285021
"98",15,170,55,31,64.456298828125,9.74030017852783,95.9002990722656,83.4700012207031,2.28889989852905,7.54169988632202,17.7936992645264,31.5531997680664,7.44509983062744,253024.160286554,-494203.448071509
"99",8,177,55,30,59.0629997253418,14.7403001785278,84.2969970703125,65.6146011352539,1.94179999828339,6.52869987487793,19.809700012207,33.0518989562988,5.91079998016357,231413.61584401,-461260.967179749
"100",15,170,55,31,60.5112991333008,13.0186996459961,87.6507034301758,76.8227996826172,2.23699998855591,7.07070016860962,18.1247005462646,32.1189002990723,6.92799997329712,253399.373633198,-492445.845245713
"101",15,170,55,31,64.1287002563477,9.42129993438721,95.9682998657227,83.5419998168945,2.26640009880066,7.55030012130737,17.8523006439209,31.6529006958008,7.417799949646,253265.843665217,-494590.222777359
"102",5,152,55,32,46.3810005187988,4.43830013275146,83.4997024536133,70.5056991577148,11.5736999511719,0.769999980926514,13.3120002746582,30.4127998352051,0.770699977874756,313556.790182663,-483122.57400394
"103",15,170,55,31,65.2826995849609,9.20400047302246,99.9816970825195,84.7203979492188,2.26830005645752,7.53369998931885,17.4277000427246,30.8192005157471,7.59810018539429,252461.874323741,-496898.735906507
"104",15,170,55,31,61.4626998901367,12.2239999771118,90.9842987060547,79.1679992675781,2.2202000617981,7.29169988632202,18.0212993621826,31.971700668335,7.15089988708496,253697.469677038,-493055.804750608
"105",15,167,39,14,41.2006988525391,0,116.060997009277,109.999298095703,2.67779994010925,5.67170000076294,15.6682996749878,33.2672004699707,4.55569982528687,-103199.851483241,71004.8270349354
"106",2,168,38,14,42.0287017822266,0,112.985000610352,107.957397460938,2.70840001106262,5.65170001983643,15.7150001525879,33.2294006347656,4.55389976501465,-105312.849076574,70950.1829794082
