"","fvegHW90mask","bird90","mammal90","reptile90","aetdec_90m","cwddec_90m","pptdec_90m","pptdjf_90m","pptjja_90m","tmndec_90m","tmxdec_90m","tmxjja_90m","tmndjf_90m","longitude","latitude"
"80",15,169,39,14,23.2343006134033,1.3157000541687,85.168701171875,93.3280029296875,2.73390007019043,4.07130002975464,12.3732995986938,32.6675987243652,4.74030017852783,-114024.475148611,67234.3780530188
"81",15,167,39,14,23.3939990997314,0.8192999958992,97.6650009155273,109.999298095703,2.67779994010925,3.88529992103577,12.4743003845215,33.2672004699707,4.55569982528687,-103199.851483241,71004.8270349354
"82",2,165,58,27,37.9292984008789,18.3187007904053,60.6666984558105,91.3936004638672,6.62720012664795,4.61969995498657,16.4067001342773,32.7585983276367,4.71099996566772,273052.206687308,-433253.293539828
"83",5,170,56,28,35.49169921875,17.8283004760742,55.1629981994629,84.3710021972656,1.11839997768402,5.76999998092651,19.4169998168945,31.3880004882812,6.32889986038208,215651.687147622,-451744.389697263
"84",15,150,55,29,41.8479995727539,11.8613004684448,124.511703491211,183.262893676758,3.39910006523132,5.62470006942749,15.9252996444702,31.8894004821777,5.99289989471436,233479.914059372,-418221.577210861
"85",8,151,57,29,44.99169921875,13.5550003051758,117.538696289062,172.772705078125,3.69770002365112,5.99499988555908,16.1916999816895,32.0733985900879,6.37160015106201,234872.361659803,-421133.174000312
"86",7,162,56,33,32.1386985778809,7.19469976425171,92.0810012817383,124.471801757812,10.4706001281738,0.342000007629395,12.4083003997803,28.8572998046875,0.6564000248909,321337.486613335,-557740.649239191
"87",8,183,50,20,31.7222995758057,0.7742999792099,192.237701416016,192.204803466797,3.89669990539551,6.35300016403198,13.9097003936768,26.8603992462158,5.52269983291626,-198722.346763466,-70499.1666583065
"88",15,180,47,19,39.7322998046875,12.0233001708984,71.9686965942383,99.4030990600586,1.08120000362396,5.55299997329712,17.9169998168945,23.5552005767822,6.00269985198975,-21759.8233286805,-391995.57953049
"89",8,167,49,24,37.9327011108398,10.7976999282837,87.6060028076172,126.678596496582,0.642300009727478,4.13500022888184,18.5366992950439,33.5723991394043,4.54960012435913,19495.6630923895,-385428.569542633
"90",7,186,49,18,32.5029983520508,1.21270000934601,143.467697143555,153.087997436523,1.90659999847412,4.30999994277954,15.5907001495361,25.2560997009277,4.70410013198853,-170871.144056425,-110504.729191934
"91",7,188,47,19,31.0886993408203,0.547699987888336,215.466995239258,225.087799072266,4.65719985961914,4.94929981231689,15.2530002593994,24.7101993560791,4.94269990921021,-192850.632490955,-106149.854430538
"92",8,187,49,17,30.5237007141113,1.84029996395111,110.130699157715,119.186996459961,1.37890005111694,4.22130012512207,15.9126996994019,20.993200302124,4.74209976196289,-163700.128076326,-119741.167053059
"93",7,185,49,19,32.0443000793457,1.05099999904633,192.549697875977,207.404205322266,2.5246000289917,4.30429983139038,15.2806997299194,25.2252006530762,4.55970001220703,-182159.580800221,-110516.098715893
"94",15,187,49,19,31.7689990997314,1.05529999732971,148.820297241211,163.702606201172,2.24699997901917,4.60830020904541,15.6763000488281,22.2737007141113,5.04390001296997,-181401.779919199,-112474.759923674
"95",7,186,50,19,31.7012996673584,1.0349999666214,183.011703491211,197.684692382812,2.39800000190735,4.25299978256226,15.4079999923706,24.7616996765137,4.57980012893677,-181802.931469111,-110464.878643962
"96",8,186,49,19,33.8007011413574,0.924700021743774,224.289001464844,235.976593017578,2.87890005111694,5.44670009613037,15.0059995651245,26.5382995605469,5.37069988250732,-184695.4221574,-109012.188813489
"97",7,189,50,19,28.3283004760742,0.514999985694885,212.621002197266,227.351593017578,2.38669991493225,2.72300004959106,15.8999996185303,27.5662994384766,3.26889991760254,-183315.325370681,-106852.075413299
"98",7,154,61,20,15.6219997406006,0,331.072692871094,314.630401611328,16.494800567627,1.98199999332428,11.5362997055054,33.2207984924316,2.24000000953674,-188691.268171085,319822.159041665
"99",7,156,59,20,16.375,0,318.671295166016,304.123107910156,13.2040996551514,2.59800004959106,12.1459999084473,33.1967010498047,2.68129992485046,-195919.527819718,311728.903099314
"100",15,149,62,20,12.8990001678467,0,331.565002441406,319.764099121094,16.9480991363525,1.50769996643066,11.2040004730225,33.1731986999512,1.82819998264313,-189471.618383744,326822.410791247
"101",15,149,62,20,14.1472997665405,0,334.646301269531,322.023101806641,17.4932994842529,1.46300005912781,11.0046997070312,32.9030990600586,1.69439995288849,-189323.508990559,327381.819095742
"102",15,154,61,20,16.2430000305176,0,331.528289794922,315.227386474609,16.755199432373,1.84300005435944,11.3242998123169,32.9542999267578,2.06229996681213,-189639.649594778,319775.761169988
"103",7,154,61,20,15.0939998626709,0,320.579711914062,307.599700927734,14.9137001037598,1.80330002307892,11.8052997589111,33.3942985534668,2.06159996986389,-189823.546350476,319136.108732074
"104",7,150,64,20,11.390700340271,0,320.717987060547,308.904998779297,15.1191997528076,0.942300021648407,10.2672996520996,33.1730995178223,0.791800022125244,-198462.100395936,340949.016565124
"105",15,153,60,19,8.49499988555908,0,213.679000854492,198.056198120117,11.8579998016357,-0.0976999998092651,9.11429977416992,32.5814018249512,0.152099996805191,-222367.053883759,303414.88091864
"106",15,159,45,17,19.1893005371094,0.831700026988983,144.735000610352,149.436798095703,1.92809998989105,3.09400010108948,13.2836999893188,32.5438003540039,3.2846999168396,-182514.405417393,56582.4941797866
"107",15,174,46,15,23.9102993011475,0.0879999995231628,173.203994750977,169.436294555664,2.63220000267029,3.57570004463196,14.105299949646,27.7320003509521,4.01999998092651,-231239.015365265,51217.9817742268
"108",7,164,53,17,26.5366992950439,0,308.734008789062,285.076690673828,3.57879996299744,4.02129983901978,13.1223001480103,27.363899230957,4.4109001159668,-261895.088144952,62498.325349974
"109",15,154,48,18,24.7959995269775,2.79530000686646,57.2929992675781,64.2908020019531,1.41690003871918,2.98769998550415,12.3877000808716,33.3680000305176,3.71670007705688,-40786.4196218342,-39071.7264996092
"110",15,142,45,24,22.9990005493164,2.05329990386963,64.7192993164062,73.4430999755859,0.995999991893768,3.2960000038147,13.5970001220703,32.3238983154297,3.44970011711121,-121152.623360915,-65375.1702999366
"111",15,147,46,25,23.1709995269775,2.09500002861023,64.7689971923828,73.2786026000977,0.997200012207031,2.74729990959167,13.7503004074097,32.5127983093262,2.94039988517761,-122059.415961833,-65128.5404375214
"112",15,147,46,25,23.1709995269775,2.09500002861023,64.7689971923828,73.2786026000977,0.997099995613098,2.74729990959167,13.7503004074097,32.5127983093262,2.93910002708435,-122094.76226272,-65128.0253906571
"113",15,142,45,24,22.9990005493164,2.05329990386963,64.7192993164062,73.4430999755859,0.995999991893768,3.2960000038147,13.5970001220703,32.3238983154297,3.44970011711121,-121178.973099022,-65363.671720827
"114",7,141,58,20,8.49429988861084,0,182.777694702148,175.98779296875,11.6965999603271,-0.466699987649918,9.05799961090088,29.3668994903564,-0.367000013589859,-150312.520586585,247780.255563203
"115",15,160,51,20,35.6057014465332,4.9556999206543,115.974998474121,141.116592407227,6.38040018081665,3.98970007896423,12.7353000640869,32.2589988708496,4.46820020675659,88122.351334438,-153503.975876526
"116",15,129,56,18,21.5006999969482,3.66100001335144,134.632293701172,155.840606689453,7.5201997756958,0.562300026416779,10.1800003051758,29.9901008605957,0.728799998760223,110781.156465292,-184391.475043396
"117",11,142,55,20,23.8852996826172,0.0493000000715256,136.264297485352,148.851104736328,3.64439988136292,1.56599998474121,12.609299659729,32.5523986816406,1.87580001354218,-35956.2305205038,3692.32471031602
"118",8,186,48,21,38.140998840332,15.3922996520996,64.736701965332,96.2276992797852,0.819100022315979,5.75,18.7660007476807,26.3516006469727,6.2121000289917,71178.3669395017,-413303.577916129
"119",15,146,47,17,16.729700088501,0.686699986457825,114.51830291748,118.42130279541,2.48090004920959,1.9186999797821,13.1253004074097,32.9253997802734,2.41939997673035,-201375.535701944,102327.815767926
"120",2,144,46,17,22.2213001251221,1.09130001068115,121.427299499512,121.487602233887,2.4818000793457,3.31769990921021,12.5326995849609,32.2186012268066,3.57870006561279,-194488.854841785,92722.5480787139
