Record,fvegHW90mask,aet_90m,cwd_90m,ppt_90m,pptdjf_90m,pptjja_90m,tmn_90m,tmx_90m,tmxjja_90m,tmndjf_90m,longitude,latitude
8770,1,183.1333008,486.5700073,351.0299988,35.56359863,23.5522995,-2.47329998,9.363300323,17.92770004,-8.81499958,174094.7072,-117157.5982
12215,3,152.5567017,1288.023315,160.6533051,20.76919937,13.0692997,10.99670029,25.41670036,36.83840179,1.080800056,426753.7424,-278852.7971
8561,2,360.4299927,890.7766724,623.1566772,120.995697,1.228899956,9.683300018,21.41329956,28.84379959,5.619100094,-133531.4037,-105470.0441
14195,3,143.3567047,1351.400024,154.6732941,28.70779991,3.027400017,8.470000267,24.57329941,35.03070068,1.469699979,229673.6147,-360263.5386
9809,11,270.3033142,1159.526733,284.9266968,49.11579895,1.51880002,9.899999619,24.82999992,34.79510117,3.447299957,56918.29932,-170965.6552
9299,3,170.4132996,1130.719971,219.0867004,40.29840088,7.123700142,6.483300209,20.40670013,30.91480064,-0.914699972,158244.0217,-145248.79
1982,10,216.4700012,615.3499756,277.8500061,33.83639908,10.38920021,-1.076699972,15.54669952,27.03230095,-7.607699871,-49917.50885,312471.3307
4873,15,440.7167053,733.623291,1068.756714,197.1887054,4.216199875,6.800000191,21.79669952,29.58889961,3.563199997,-298467.9001,123955.946
2516,15,694.1566772,458.4833069,1049.90332,175.9403076,10.99120045,8.796699524,22.87330055,33.53409958,2.381400108,-219901.043,279183.5553
10561,3,168.0299988,1149.76001,179.3632965,26.3946991,8.354599953,10.15330029,22.26329994,33.44919968,2.653300047,267944.306,-205309.8254
16406,5,97.41000366,1436.973267,97.3167038,13.62819958,6.881100178,15.57330036,30.98670006,41.33169937,6.229599953,491273.89,-464364.811
4956,15,356,840.3666992,837.9232788,161.4710999,1.67840004,8.050000191,21.86330032,31.1984005,2.829400063,-226055.3553,117509.0523
2272,3,168.4799957,647.1900024,291.6366882,37.59479904,10.72700024,0.143299997,15.1232996,26.63689995,-6.418799877,-1235.718879,294966.6113
543,15,522.4199829,377.2366943,2646.623291,429.2156982,28.49869919,5.659999847,18.74329948,28.4829998,1.523599982,-324352.2506,407696.0409
10370,2,260.7000122,1073.676758,374.6700134,73.90119934,0.759899974,7.366700172,24.31999969,33.76869965,1.787400007,-41355.75471,-196604.1195
2805,11,297.3367004,685.4932861,339.0032959,55.60499954,7.200200081,1.533300042,18.07670021,29.91930008,-5.131999969,-45105.06365,261208.5189
3463,15,401.896698,608.583313,1130.050049,192.6728058,9.995100021,1.946699977,18.48329926,29.37220001,-3.191999912,-77958.34884,221321.0556
7854,8,230.3632965,1053.563354,319.9866943,59.67610168,0.841300011,9.866700172,23.14999962,32.28900146,4.461100101,-104798.2587,-68986.42076
12924,11,150.4900055,1352.130005,151.4900055,24.3281002,0.478300005,11.24670029,25.80669975,35.86920166,3.950700045,89872.01796,-307976.2422
964,3,241.8466949,666.4232788,484.1966858,59.69599915,14.00370026,1.003299952,16.78000069,28.04059982,-5.360199928,-84309.9883,378290.8121
321,7,547.0300293,401.1300049,2425.363281,394.09729,26.37669945,6.119999886,18.05669975,24.84519958,2.437299967,-332874.9099,423353.1064
12294,3,151.0299988,1349.193359,160.9532928,29.2798996,3.666800022,11.13669968,23.6432991,34.67240143,3.379400015,211668.5481,-282007.4036
7997,15,424.9367065,760.1832886,825.8366699,152.2713928,4.178100109,7.346700191,20.12000084,23.7541008,5.033699989,-203592.2159,-76953.66703
2503,7,398.4500122,532.3900146,1703.016724,303.4804077,12.85009956,4.643300056,18.15670013,28.23279953,-0.252299994,-292190.0725,279962.6268
8085,15,415.2567139,911.9099731,694.0466919,125.0422974,3.433900118,7.883299828,23.60330009,34.19020081,1.876399994,24100.03392,-80880.95244
7556,3,124.3732986,1059.313354,205.4600067,28.48520088,9.540100098,3.003299952,20.65670013,32.04660034,-5.763100147,132332.1924,-53120.77826
424,3,228.2232971,639.5667114,428.6333008,51.56510162,12.2166996,0.943300009,15.23670006,26.65089989,-6.157400131,-70481.2816,416693.4914
