"","fvegHW90mask","bird90","mammal90","reptile90","aet_90m","cwd_90m","ppt_90m","pptdjf_90m","pptjja_90m","tmn_90m","tmx_90m","tmxjja_90m","tmndjf_90m","longitude","latitude"
"13086",8,179,51,20,377.559997558594,932.763305664062,548.486694335938,104.483200073242,1.27470004558563,7.49669981002808,22.8866996765137,27.2418003082275,3.57859992980957,-45060.3922583,-315560.452051
"13087",15,129,50,24,276.440002441406,900.260009765625,406.493286132812,68.8253021240234,3.63619995117188,6.34999990463257,18.3066997528076,28.3822994232178,-0.466699987649918,118448.070071,-315553.480816
"13088",3,82,35,30,166.503295898438,1312.72998046875,166.25,21.2189998626709,11.8584003448486,14.6366996765137,26.653299331665,37.9138984680176,5.73070001602173,474668.085319,-315967.305279
"13089",11,142,38,17,171.923294067383,1335.02331542969,170.610000610352,27.6196994781494,0.825900018215179,11.5233001708984,26.2632999420166,36.4261016845703,4.21029996871948,107444.790963,-315744.499569
"13090",3,76,32,28,114.12670135498,1448.75329589844,118.973297119141,21.8591003417969,3.97900009155273,10.5966997146606,25.6700000762939,36.290599822998,2.72189998626709,246991.043448,-315883.338905
"13091",5,75,36,29,130.279998779297,1422.09326171875,131.896697998047,21.3560009002686,6.64139986038208,11.8066997528076,25.5100002288818,36.3633995056152,4.09130001068115,306452.054296,-315687.020848
"13092",3,98,42,30,181.916702270508,1196.27001953125,193.583297729492,25.1336994171143,12.8751001358032,9.69330024719238,23.5200004577637,34.4250984191895,1.46659994125366,409175.194619,-316014.842455
"13093",3,75,36,29,119.89330291748,1450.11999511719,120.983299255371,19.1707000732422,6.54300022125244,12.2067003250122,26.2166996002197,37.2028999328613,4.48589992523193,317305.452262,-315659.512867
"13094",2,153,47,19,452.563293457031,908.913330078125,563.440002441406,106.885200500488,1.32739996910095,7.52670001983643,24.0100002288818,29.2653007507324,3.05900001525879,-35597.8618309,-315706.960751
"13095",3,77,34,31,86.746696472168,1475.39331054688,89.8266983032227,11.1371002197266,7.95209980010986,12.4533004760742,30.3199996948242,41.9486999511719,1.59019994735718,357800.803055,-315963.130722
"13096",2,121,52,23,272.396697998047,1017.16998291016,300.163299560547,52.0607986450195,4.35069990158081,6.32329988479614,19.1599998474121,28.4878997802734,0.161100000143051,147555.534072,-315725.586067
"13097",11,137,37,17,152.836700439453,1335.87670898438,151.496704101562,24.525899887085,0.766700029373169,11.2600002288818,25.6366996765137,35.4935989379883,3.96399998664856,66231.6536836,-315854.093822
"13098",3,75,33,28,134.353302001953,1363.54333496094,138.963302612305,22.9263000488281,6.53679990768433,11.2399997711182,23.7432994842529,34.3671989440918,3.875,266037.671867,-315822.584961
"13099",3,96,33,26,114.153297424316,1366.70324707031,125.419998168945,24.3318004608154,2.47079992294312,9.31669998168945,25.5032997131348,36.1236000061035,1.41040003299713,197469.609177,-315754.301728
"13100",3,96,33,26,115.636703491211,1380.94995117188,121.080001831055,24.1296997070312,1.82439994812012,10.0333003997803,25.1067008972168,35.5578002929688,2.59130001068115,217893.434152,-315926.1765
"13101",15,139,50,19,443.963287353516,1003.87670898438,730.333312988281,136.600006103516,1.23979997634888,9.88329982757568,22.3533000946045,31.625,4.12069988250732,-8867.99966844,-315738.345498
"13102",3,76,36,29,125.513298034668,1442.15002441406,126.573303222656,20.5431003570557,6.13920021057129,11.8699998855591,25.9333000183105,36.7662010192871,4.05210018157959,304772.305331,-315856.223759
