"","fvegHW90mask","bird90","mammal90","reptile90","aetmay_90m","cwdmay_90m","pptmay_90m","pptdjf_90m","pptjja_90m","tmnmay_90m","tmxmay_90m","tmxjja_90m","tmndjf_90m","longitude","latitude"
"50",15,124,64,17,50.5853004455566,83.3113021850586,48.6827011108398,174.001907348633,4.96960020065308,6.15170001983643,20.9606990814209,28.8204002380371,-1.09599995613098,25183.1141557808,-32518.9219982624
"51",7,124,62,17,134.747695922852,18.1797008514404,45.0610008239746,185.662200927734,4.8649001121521,6.43300008773804,21.2723007202148,28.5956001281738,-0.344999998807907,28798.7812638985,-52372.6901487056
"52",7,122,61,17,110.345001220703,42.1996994018555,44.5413017272949,184.175003051758,4.66359996795654,6.36269998550415,21.2173004150391,28.5238990783691,-0.48989999294281,30785.2099721738,-52699.1129219369
"53",15,167,50,22,22.077299118042,137.312698364258,15.2250003814697,111.391799926758,0.719600021839142,6.36700010299683,27.512300491333,33.6363983154297,1.99430000782013,-133333.106345349,-196848.453136428
"54",15,161,45,17,52.4712982177734,108.068702697754,24.1676998138428,144.650894165039,1.74080002307892,9.50769996643066,26.0009994506836,32.6790008544922,2.83899998664856,-187187.567597614,55094.9021911938
"55",15,142,56,22,96.1279983520508,59.2319984436035,55.4580001831055,210.918106079102,6.59619998931885,9.47599983215332,24.3516998291016,32.82080078125,2.69219994544983,-94380.2363864714,142370.33635597
"56",2,168,38,15,22.3729991912842,147.393707275391,20.1292991638184,91.8159027099609,2.00200009346008,11.0957002639771,26.8383007049561,33.3008003234863,4.22840023040771,-89302.5542648407,28632.298900607
"57",7,124,58,19,142.76530456543,5.13469982147217,80.3503036499023,281.174896240234,8.81760025024414,7.11199998855591,19.8637008666992,27.4599990844727,0.891600012779236,-73435.1631452686,145542.647950904
"58",7,140,58,21,152.338302612305,2.10829997062683,67.6942977905273,263.404998779297,7.67519998550415,7.94799995422363,21.9899997711182,29.5440006256104,1.08560001850128,-87772.7718173796,139830.512659047
"59",15,140,54,22,80.9557037353516,75.1076965332031,42.7700004577637,162.921005249023,4.5366997718811,9.69970035552979,23.9407005310059,31.5083999633789,2.86339998245239,-82822.3410939433,107380.004979067
"60",2,140,55,22,159.773300170898,0.71670001745224,51.8889999389648,206.435195922852,6.55830001831055,9.13099956512451,23.5132999420166,31.1499996185303,2.00570011138916,-81840.1574818384,121479.367192432
"61",5,161,61,33,23.5503005981445,144.336303710938,11.8122997283936,77.2684020996094,4.93860006332397,9.94699954986572,26.9293003082275,34.2029991149902,4.25790023803711,288831.909601077,-449726.779072289
"62",15,170,55,31,8.82269954681396,150.400695800781,7.84469985961914,83.4700012207031,2.28889989852905,11.5,24.8479995727539,31.5531997680664,7.44509983062744,253024.160286554,-494203.448071509
"63",15,167,39,14,126.13330078125,44.1666984558105,24.9986991882324,109.999298095703,2.67779994010925,11.3896999359131,26.742000579834,33.2672004699707,4.55569982528687,-103199.851483241,71004.8270349354
